10.65, 15.85, 1
10.65, 15.85, 1
10.65, 15.85, 1
10.65, 15.85, 1
10.65, 15.85, 1
17.65, 15.9, 1
17.6, 16.55, 1
17.6, 17.1, 1
17.6, 17.75, 1
23.15, 15.8, 1
23.15, 17, 1
23.2, 16.4, 1
23.2, 16.3, 1
23.2, 15.9, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
10.55, 9.45, 1
18, 9.45, 1
18, 9.45, 1
18.15, 9.2, 1
18.15, 9.2, 1
18.15, 9.35, 1
18.15, 9.4, 1
18.15, 9.4, 1
24.35, 9.25, 1
23.55, 9.35, 1
23.6, 9.35, 1
23.6, 9.7, 1
23.6, 9.75, 1
23.9, 9.75, 1
23.9, 9.75, 1
23.8, 1.85, 1
23.8, 1.85, 1
23.8, 1.85, 1
23.8, 1.55, 1
23.8, 1.55, 1
23.8, 1.55, 1
17.95, 2, 1
17.7, 2, 1
17.7, 2, 1
17.7, 2, 1
17.8, 2.15, 1
17.8, 2.15, 1
10, 2.1, 1
9.8, 2.1, 1
9.8, 2.1, 1
9.8, 2.1, 1
9.85, 2.1, 1
9.85, 2.1, 1
10.65, 2.1, 1
